;grid;letters;locs;encoding_stim;incorr_locs;incorr_letters;rotated_inds;incorr_rot;abc_ordered;incorr_abc
10;"[array([['Л', 'П', 'Х'],
       ['Х', 'Х', 'Ж'],
       ['Х', 'Т', 'Х']], dtype='<U1')]";['Л', 'П', 'Ж', 'Т'];[0, 1, 5, 7];grid_1341.png;[2, 3, 6, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 5, 7, 3];[0, 1, 6, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
11;"[array([['Т', 'П', 'Х'],
       ['Х', 'Х', 'Л'],
       ['Х', 'Х', 'Ж']], dtype='<U1')]";['Т', 'П', 'Л', 'Ж'];[0, 1, 5, 8];grid_1342.png;[2, 3, 6, 7];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 5, 7, 6];[0, 1, 3, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
12;"[array([['П', 'Т', 'Х'],
       ['Х', 'Х', 'Х'],
       ['Л', 'Ж', 'Х']], dtype='<U1')]";['П', 'Т', 'Л', 'Ж'];[0, 1, 6, 7];grid_1343.png;[2, 3, 5, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 5, 0, 3];[1, 6, 7, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
13;"[array([['Ж', 'Л', 'Х'],
       ['Х', 'Х', 'Х'],
       ['Т', 'Х', 'П']], dtype='<U1')]";['Ж', 'Л', 'Т', 'П'];[0, 1, 6, 8];grid_1344.png;[2, 3, 5, 7];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 5, 0, 6];[1, 3, 7, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
14;"[array([['П', 'Т', 'Х'],
       ['Х', 'Х', 'Х'],
       ['Х', 'Ж', 'Л']], dtype='<U1')]";['П', 'Т', 'Ж', 'Л'];[0, 1, 7, 8];grid_1345.png;[2, 3, 5, 6];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 5, 3, 6];[0, 1, 7, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
15;"[array([['Ж', 'Х', 'Л'],
       ['Т', 'Х', 'П'],
       ['Х', 'Х', 'Х']], dtype='<U1')]";['Ж', 'Л', 'Т', 'П'];[0, 2, 3, 5];grid_1346.png;[1, 6, 7, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 8, 1, 7];[0, 3, 5, 6];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
16;"[array([['Т', 'Х', 'Л'],
       ['П', 'Х', 'Х'],
       ['Ж', 'Х', 'Х']], dtype='<U1')]";['Т', 'Л', 'П', 'Ж'];[0, 2, 3, 6];grid_1347.png;[1, 5, 7, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 8, 1, 0];[3, 5, 6, 7];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
17;"[array([['Ж', 'Х', 'Л'],
       ['Т', 'Х', 'Х'],
       ['Х', 'П', 'Х']], dtype='<U1')]";['Ж', 'Л', 'Т', 'П'];[0, 2, 3, 7];grid_1348.png;[1, 5, 6, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 8, 1, 3];[0, 5, 6, 7];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
18;"[array([['П', 'Х', 'Л'],
       ['Ж', 'Х', 'Х'],
       ['Х', 'Х', 'Т']], dtype='<U1')]";['П', 'Л', 'Ж', 'Т'];[0, 2, 3, 8];grid_1349.png;[1, 5, 6, 7];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 8, 1, 6];[0, 3, 5, 7];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
19;"[array([['П', 'Х', 'Ж'],
       ['Х', 'Х', 'Л'],
       ['Т', 'Х', 'Х']], dtype='<U1')]";['П', 'Ж', 'Л', 'Т'];[0, 2, 5, 6];grid_1350.png;[1, 3, 7, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 8, 7, 0];[1, 3, 5, 6];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
20;"[array([['Л', 'Х', 'Т'],
       ['Х', 'Х', 'Ж'],
       ['Х', 'П', 'Х']], dtype='<U1')]";['Л', 'Т', 'Ж', 'П'];[0, 2, 5, 7];grid_1351.png;[1, 3, 6, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 8, 7, 3];[0, 1, 5, 6];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
21;"[array([['П', 'Х', 'Ж'],
       ['Х', 'Х', 'Л'],
       ['Х', 'Х', 'Т']], dtype='<U1')]";['П', 'Ж', 'Л', 'Т'];[0, 2, 5, 8];grid_1352.png;[1, 3, 6, 7];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 8, 7, 6];[0, 1, 3, 5];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
22;"[array([['П', 'Х', 'Ж'],
       ['Х', 'Х', 'Х'],
       ['Т', 'Л', 'Х']], dtype='<U1')]";['П', 'Ж', 'Т', 'Л'];[0, 2, 6, 7];grid_1353.png;[1, 3, 5, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 8, 0, 3];[1, 5, 6, 7];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
23;"[array([['Л', 'Х', 'Т'],
       ['Х', 'Х', 'Х'],
       ['Х', 'П', 'Ж']], dtype='<U1')]";['Л', 'Т', 'П', 'Ж'];[0, 2, 7, 8];grid_1355.png;[1, 3, 5, 6];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 8, 3, 6];[0, 1, 5, 7];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
24;"[array([['Ж', 'Х', 'Х'],
       ['П', 'Х', 'Т'],
       ['Л', 'Х', 'Х']], dtype='<U1')]";['Ж', 'П', 'Т', 'Л'];[0, 3, 5, 6];grid_1356.png;[1, 2, 7, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 1, 7, 0];[3, 5, 6, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
25;"[array([['Т', 'Х', 'Х'],
       ['Ж', 'Х', 'Л'],
       ['Х', 'П', 'Х']], dtype='<U1')]";['Т', 'Ж', 'Л', 'П'];[0, 3, 5, 7];grid_1357.png;[1, 2, 6, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 1, 7, 3];[0, 5, 6, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
26;"[array([['Т', 'Х', 'Х'],
       ['П', 'Х', 'Л'],
       ['Х', 'Х', 'Ж']], dtype='<U1')]";['Т', 'П', 'Л', 'Ж'];[0, 3, 5, 8];grid_1358.png;[1, 2, 6, 7];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 1, 7, 6];[0, 3, 5, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
27;"[array([['Л', 'Х', 'Х'],
       ['Т', 'Х', 'Х'],
       ['П', 'Ж', 'Х']], dtype='<U1')]";['Л', 'Т', 'П', 'Ж'];[0, 3, 6, 7];grid_1359.png;[1, 2, 5, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 1, 0, 3];[5, 6, 7, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
28;"[array([['Ж', 'Х', 'Х'],
       ['П', 'Х', 'Х'],
       ['Т', 'Х', 'Л']], dtype='<U1')]";['Ж', 'П', 'Т', 'Л'];[0, 3, 6, 8];grid_1360.png;[1, 2, 5, 7];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 1, 0, 6];[3, 5, 7, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
29;"[array([['П', 'Х', 'Х'],
       ['Л', 'Х', 'Х'],
       ['Х', 'Т', 'Ж']], dtype='<U1')]";['П', 'Л', 'Т', 'Ж'];[0, 3, 7, 8];grid_1361.png;[1, 2, 5, 6];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 1, 3, 6];[0, 5, 7, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
30;"[array([['Ж', 'Х', 'Х'],
       ['Х', 'Х', 'Т'],
       ['П', 'Л', 'Х']], dtype='<U1')]";['Ж', 'Т', 'П', 'Л'];[0, 5, 6, 7];grid_1362.png;[1, 2, 3, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 7, 0, 3];[1, 5, 6, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
31;"[array([['Т', 'Х', 'Х'],
       ['Х', 'Х', 'П'],
       ['Л', 'Х', 'Ж']], dtype='<U1')]";['Т', 'П', 'Л', 'Ж'];[0, 5, 6, 8];grid_1363.png;[1, 2, 3, 7];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 7, 0, 6];[1, 3, 5, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
32;"[array([['П', 'Х', 'Х'],
       ['Х', 'Х', 'Т'],
       ['Х', 'Ж', 'Л']], dtype='<U1')]";['П', 'Т', 'Ж', 'Л'];[0, 5, 7, 8];grid_1364.png;[1, 2, 3, 6];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 7, 3, 6];[0, 1, 5, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
33;"[array([['П', 'Х', 'Х'],
       ['Х', 'Х', 'Х'],
       ['Ж', 'Л', 'Т']], dtype='<U1')]";['П', 'Ж', 'Л', 'Т'];[0, 6, 7, 8];grid_1365.png;[1, 2, 3, 5];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[2, 0, 3, 6];[1, 5, 7, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
34;"[array([['Х', 'П', 'Т'],
       ['Ж', 'Х', 'Л'],
       ['Х', 'Х', 'Х']], dtype='<U1')]";['П', 'Т', 'Ж', 'Л'];[1, 2, 3, 5];grid_1366.png;[0, 6, 7, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[5, 8, 1, 7];[0, 2, 3, 6];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
35;"[array([['Х', 'Ж', 'Т'],
       ['Л', 'Х', 'Х'],
       ['П', 'Х', 'Х']], dtype='<U1')]";['Ж', 'Т', 'Л', 'П'];[1, 2, 3, 6];grid_1367.png;[0, 5, 7, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[5, 8, 1, 0];[2, 3, 6, 7];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
36;"[array([['Х', 'Т', 'Ж'],
       ['Л', 'Х', 'Х'],
       ['Х', 'П', 'Х']], dtype='<U1')]";['Т', 'Ж', 'Л', 'П'];[1, 2, 3, 7];grid_1368.png;[0, 5, 6, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[5, 8, 1, 3];[0, 2, 6, 7];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
37;"[array([['Х', 'П', 'Л'],
       ['Ж', 'Х', 'Х'],
       ['Х', 'Х', 'Т']], dtype='<U1')]";['П', 'Л', 'Ж', 'Т'];[1, 2, 3, 8];grid_1369.png;[0, 5, 6, 7];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[5, 8, 1, 6];[0, 2, 3, 7];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
38;"[array([['Х', 'Л', 'Т'],
       ['Х', 'Х', 'П'],
       ['Ж', 'Х', 'Х']], dtype='<U1')]";['Л', 'Т', 'П', 'Ж'];[1, 2, 5, 6];grid_1370.png;[0, 3, 7, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[5, 8, 7, 0];[1, 2, 3, 6];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
39;"[array([['Х', 'Ж', 'Т'],
       ['Х', 'Х', 'П'],
       ['Х', 'Л', 'Х']], dtype='<U1')]";['Ж', 'Т', 'П', 'Л'];[1, 2, 5, 7];grid_1371.png;[0, 3, 6, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[5, 8, 7, 3];[0, 1, 2, 6];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
40;"[array([['Х', 'П', 'Т'],
       ['Х', 'Х', 'Л'],
       ['Х', 'Х', 'Ж']], dtype='<U1')]";['П', 'Т', 'Л', 'Ж'];[1, 2, 5, 8];grid_1372.png;[0, 3, 6, 7];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[5, 8, 7, 6];[0, 1, 2, 3];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
41;"[array([['Х', 'П', 'Л'],
       ['Х', 'Х', 'Х'],
       ['Ж', 'Т', 'Х']], dtype='<U1')]";['П', 'Л', 'Ж', 'Т'];[1, 2, 6, 7];grid_1373.png;[0, 3, 5, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[5, 8, 0, 3];[1, 2, 6, 7];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
42;"[array([['Х', 'П', 'Т'],
       ['Х', 'Х', 'Х'],
       ['Ж', 'Х', 'Л']], dtype='<U1')]";['П', 'Т', 'Ж', 'Л'];[1, 2, 6, 8];grid_1374.png;[0, 3, 5, 7];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[5, 8, 0, 6];[1, 2, 3, 7];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
43;"[array([['Х', 'Ж', 'Л'],
       ['Х', 'Х', 'Х'],
       ['Х', 'Т', 'П']], dtype='<U1')]";['Ж', 'Л', 'Т', 'П'];[1, 2, 7, 8];grid_1375.png;[0, 3, 5, 6];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[5, 8, 3, 6];[0, 1, 2, 7];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
44;"[array([['Х', 'Ж', 'Х'],
       ['П', 'Х', 'Т'],
       ['Л', 'Х', 'Х']], dtype='<U1')]";['Ж', 'П', 'Т', 'Л'];[1, 3, 5, 6];grid_1376.png;[0, 2, 7, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[5, 1, 7, 0];[2, 3, 6, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
45;"[array([['Х', 'Л', 'Х'],
       ['Ж', 'Х', 'Т'],
       ['Х', 'Х', 'П']], dtype='<U1')]";['Л', 'Ж', 'Т', 'П'];[1, 3, 5, 8];grid_1378.png;[0, 2, 6, 7];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[5, 1, 7, 6];[0, 2, 3, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
46;"[array([['Х', 'Т', 'Х'],
       ['П', 'Х', 'Х'],
       ['Л', 'Ж', 'Х']], dtype='<U1')]";['Т', 'П', 'Л', 'Ж'];[1, 3, 6, 7];grid_1379.png;[0, 2, 5, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[5, 1, 0, 3];[2, 6, 7, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
47;"[array([['Х', 'П', 'Х'],
       ['Т', 'Х', 'Х'],
       ['Ж', 'Х', 'Л']], dtype='<U1')]";['П', 'Т', 'Ж', 'Л'];[1, 3, 6, 8];grid_1380.png;[0, 2, 5, 7];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[5, 1, 0, 6];[2, 3, 7, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
48;"[array([['Х', 'П', 'Х'],
       ['Т', 'Х', 'Х'],
       ['Х', 'Л', 'Ж']], dtype='<U1')]";['П', 'Т', 'Л', 'Ж'];[1, 3, 7, 8];grid_1381.png;[0, 2, 5, 6];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[5, 1, 3, 6];[0, 2, 7, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
49;"[array([['Х', 'П', 'Х'],
       ['Х', 'Х', 'Т'],
       ['Ж', 'Л', 'Х']], dtype='<U1')]";['П', 'Т', 'Ж', 'Л'];[1, 5, 6, 7];grid_1382.png;[0, 2, 3, 8];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[5, 7, 0, 3];[1, 2, 6, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
50;"[array([['Х', 'Т', 'Х'],
       ['Х', 'Х', 'Л'],
       ['Ж', 'Х', 'П']], dtype='<U1')]";['Т', 'Л', 'Ж', 'П'];[1, 5, 6, 8];grid_1383.png;[0, 2, 3, 7];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[5, 7, 0, 6];[1, 2, 3, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
51;"[array([['Х', 'П', 'Х'],
       ['Х', 'Х', 'Л'],
       ['Х', 'Т', 'Ж']], dtype='<U1')]";['П', 'Л', 'Т', 'Ж'];[1, 5, 7, 8];grid_1384.png;[0, 2, 3, 6];['К', 'М', 'Д', 'Г', 'Ш', 'Ф'];[5, 7, 3, 6];[0, 1, 2, 8];{'Ж': 0, 'Л': 1, 'П': 2, 'Т': 3};{'Ж': [1, 2, 3], 'Л': [0, 2, 3], 'П': [0, 1, 3], 'Т': [0, 1, 2]}
